source,target,date
julialilinoe,SFU,12/06/2019 00:49:48
Shxperienced,Laura_Estill,12/06/2019 00:49:07
lindseyseatter,agbordini,12/06/2019 00:45:06
lindseyseatter,agbordini,12/06/2019 00:42:49
sendelbach,PhillipHowells,12/06/2019 00:42:23
lindseyseatter,ldmm,12/06/2019 00:36:30
clboyles,kshpatel,12/06/2019 00:34:56
clboyles,MyOwnVelouria,12/06/2019 00:34:56
clboyles,angeldnieves,12/06/2019 00:34:56
yclepit,julialilinoe,12/06/2019 00:32:27
yclepit,julialilinoe,12/06/2019 00:30:10
lindseyseatter,julialilinoe,12/06/2019 00:29:47
yclepit,julialilinoe,12/06/2019 00:29:09
yclepit,julialilinoe,12/06/2019 00:28:03
yclepit,julialilinoe,12/06/2019 00:24:05
artrunbrarian,Laura_Estill,12/06/2019 00:20:55
yclepit,khepworth,12/06/2019 00:13:24
yclepit,Gaymerbrarian,12/06/2019 00:13:24
yclepit,julialilinoe,12/06/2019 00:11:25
MollyTov2,alexandriander,12/06/2019 00:08:09
MollyTov2,TransArchives,12/06/2019 00:08:09
ullyot,ACriticismLab,12/06/2019 00:04:06
C18AH,litelbokewyrm,12/06/2019 00:03:38
C18AH,litelbokewyrm,12/06/2019 00:03:08
merenolds,ashleycmorford,11/06/2019 23:56:46
TransArchives,arungapatchka,11/06/2019 23:55:32
TransArchives,TransArchives,11/06/2019 23:55:32
TransArchives,MyOwnVelouria,11/06/2019 23:55:10
TransArchives,mradmacher,11/06/2019 23:55:10
TransArchives,alexandriander,11/06/2019 23:54:05
TransArchives,TransArchives,11/06/2019 23:54:05
ayeni_philips,uvic,11/06/2019 23:52:41
C18AH,PhillipHowells,11/06/2019 23:46:22
arungapatchka,narnarbat,11/06/2019 23:45:34
arungapatchka,Playboy,11/06/2019 23:45:34
khepworth,songsthatsaved,11/06/2019 23:41:46
Real_Person_DH,arungapatchka,11/06/2019 23:16:21
Real_Person_DH,Gaymerbrarian,11/06/2019 23:16:21
dorothyk98,kshpatel,11/06/2019 23:15:53
dorothyk98,queerdh,11/06/2019 23:15:53
dorothyk98,kshpatel,11/06/2019 23:15:53
dorothyk98,queerdh,11/06/2019 23:15:53
dorothyk98,ashleycmorford,11/06/2019 23:14:44
clboyles,ashleycmorford,11/06/2019 23:12:14
eetempleton,khepworth,11/06/2019 23:12:08
eetempleton,Gaymerbrarian,11/06/2019 23:12:08
MyOwnVelouria,arungapatchka,11/06/2019 23:10:17
MyOwnVelouria,MyOwnVelouria,11/06/2019 23:10:17
MyOwnVelouria,Gaymerbrarian,11/06/2019 23:10:17
MyOwnVelouria,DHInstitute,11/06/2019 23:10:17
MyOwnVelouria,kshpatel,11/06/2019 23:10:13
MyOwnVelouria,MyOwnVelouria,11/06/2019 23:10:13
MyOwnVelouria,angeldnieves,11/06/2019 23:10:13
khepworth,Gaymerbrarian,11/06/2019 23:06:36
kshpatel,MyOwnVelouria,11/06/2019 23:06:00
kshpatel,angeldnieves,11/06/2019 23:06:00
AlyssaA_DHSI,juliettedm,11/06/2019 23:02:26
AlyssaA_DHSI,ryancordell,11/06/2019 23:02:26
jbyszuk,Gaymerbrarian,11/06/2019 22:50:23
arungapatchka,Gaymerbrarian,11/06/2019 22:49:54
Fernham,BradshawMissy,11/06/2019 22:48:35
juliettedm,ryancordell,11/06/2019 22:44:35
eetempleton,GeorgeOnline,11/06/2019 22:44:28
eetempleton,digiwonk,11/06/2019 22:44:28
eetempleton,JayDolmage,11/06/2019 22:44:28
eetempleton,myergeau,11/06/2019 22:44:28
ullyot,hquamen,11/06/2019 22:39:10
eviedc,jsaklofske,11/06/2019 22:34:55
arungapatchka,NEnsmenger,11/06/2019 22:26:57
DHSI_fern,erinannmcc,11/06/2019 22:20:07
Real_Person_DH,themba,11/06/2019 22:16:33
Real_Person_DH,themba,11/06/2019 22:16:33
church_c,MaciejEder,11/06/2019 22:13:10
church_c,jbyszuk,11/06/2019 22:13:10
AlyssaA_DHSI,lindseyseatter,11/06/2019 22:07:46
DHInstitute,themba,11/06/2019 22:06:47
badgerbouse,themba,11/06/2019 22:05:07
arungapatchka,MyOwnVelouria,11/06/2019 22:03:11
arungapatchka,Gaymerbrarian,11/06/2019 22:03:11
arungapatchka,DHInstitute,11/06/2019 22:03:11
_JoyCastro,lgmerchant,11/06/2019 22:02:26
ZZcollier,litelbokewyrm,11/06/2019 22:00:20
klinb,kshpatel,11/06/2019 21:57:21
klinb,queerdh,11/06/2019 21:57:21
clboyles,kshpatel,11/06/2019 21:55:32
clboyles,queerdh,11/06/2019 21:55:32
oncomouse,AlternateDhsis,11/06/2019 21:54:43
motolibrarian,kshpatel,11/06/2019 21:46:33
motolibrarian,queerdh,11/06/2019 21:46:33
DHInstitute,lindseyseatter,11/06/2019 21:45:54
RossNalubega,kshpatel,11/06/2019 21:42:51
RossNalubega,queerdh,11/06/2019 21:42:51
codyjacksonAR,kshpatel,11/06/2019 21:41:23
codyjacksonAR,queerdh,11/06/2019 21:41:23
kshpatel,queerdh,11/06/2019 21:39:18
eetempleton,digiwonk,11/06/2019 21:35:47
FleerackersA,Gaymerbrarian,11/06/2019 21:31:36
AlyssaA_DHSI,Gaymerbrarian,11/06/2019 21:27:32
AlyssaA_DHSI,Gaymerbrarian,11/06/2019 21:27:32
clark_ems,USWNT,11/06/2019 20:55:05
Literature_Geek,lauragrayblair,11/06/2019 20:35:26
Literature_Geek,angeldnieves,11/06/2019 20:35:26
Leigh_Bonds,mkgold,11/06/2019 20:34:44
paige_roberts,clboyles,11/06/2019 20:24:00
paige_roberts,ashleycmorford,11/06/2019 20:24:00
Real_Person_DH,Gaymerbrarian,11/06/2019 20:16:36
Real_Person_DH,hjbrisson,11/06/2019 20:16:36
Real_Person_DH,mekonkol,11/06/2019 20:16:22
clboyles,ashleycmorford,11/06/2019 20:15:04
clboyles,ashleycmorford,11/06/2019 20:14:59
clboyles,ashleycmorford,11/06/2019 20:14:55
clboyles,arungapatchka,11/06/2019 20:14:50
clboyles,shirleene,11/06/2019 20:14:50
clboyles,kshpatel,11/06/2019 20:14:39
clboyles,ashleycmorford,11/06/2019 20:14:33
clboyles,ashleycmorford,11/06/2019 20:14:28
clboyles,arungapatchka,11/06/2019 20:14:23
clboyles,chessbard,11/06/2019 20:14:23
clboyles,ashleycmorford,11/06/2019 20:13:51
clboyles,ashleycmorford,11/06/2019 20:13:46
clboyles,ashleycmorford,11/06/2019 20:13:43
clboyles,hkpmcgregor,11/06/2019 20:13:43
clboyles,jmjafrx,11/06/2019 20:13:43
clboyles,ashleycmorford,11/06/2019 20:13:38
clboyles,ashleycmorford,11/06/2019 20:13:33
DHInstitute,MyOwnVelouria,11/06/2019 20:13:27
DHInstitute,mradmacher,11/06/2019 20:13:27
DHInstitute,Gaymerbrarian,11/06/2019 20:12:38
DHInstitute,Gaymerbrarian,11/06/2019 20:12:30
DHInstitute,Gaymerbrarian,11/06/2019 20:11:44
DHInstitute,hjbrisson,11/06/2019 20:11:44
DHInstitute,Gaymerbrarian,11/06/2019 20:11:37
DHInstitute,Gaymerbrarian,11/06/2019 20:11:18
DHInstitute,DJWrisley,11/06/2019 20:11:18
jotis13,Gaymerbrarian,11/06/2019 20:09:39
Gaymerbrarian,DJWrisley,11/06/2019 20:01:00
khepworth,GeorgeOnline,11/06/2019 20:00:37
dorothyk98,arungapatchka,11/06/2019 19:58:45
dorothyk98,juliawants,11/06/2019 19:58:45
dorothyk98,BBC,11/06/2019 19:58:45
Gaymerbrarian,hjbrisson,11/06/2019 19:58:00
ZZcollier,julialilinoe,11/06/2019 19:57:12
ZZcollier,jotis13,11/06/2019 19:57:12
mekonkol,Gaymerbrarian,11/06/2019 19:55:16
arungapatchka,juliawants,11/06/2019 19:49:21
arungapatchka,BBC,11/06/2019 19:49:21
mekonkol,lauragrayblair,11/06/2019 19:38:30
mekonkol,jotis13,11/06/2019 19:38:30
alexandriander,TransArchives,11/06/2019 19:38:28
GeorgeOnline,digiwonk,11/06/2019 19:36:55
GeorgeOnline,JayDolmage,11/06/2019 19:36:55
GeorgeOnline,myergeau,11/06/2019 19:36:55
mekonkol,Gaymerbrarian,11/06/2019 19:35:29
ZZcollier,julialilinoe,11/06/2019 19:33:43
ZZcollier,ZZcollier,11/06/2019 19:33:43
ZZcollier,jotis13,11/06/2019 19:33:43
markcmarino,DavinHeckman,11/06/2019 19:32:12
markcmarino,AstridEnsslin,11/06/2019 19:32:12
ZZcollier,julialilinoe,11/06/2019 19:31:27
LujanShannon,mkgold,11/06/2019 19:31:16
arungapatchka,mradmacher,11/06/2019 19:30:28
kieraobbard,arungapatchka,11/06/2019 19:28:14
kieraobbard,mradmacher,11/06/2019 19:28:14
kieraobbard,TransArchives,11/06/2019 19:28:14
kieraobbard,IBM,11/06/2019 19:28:14
MyOwnVelouria,Gaymerbrarian,11/06/2019 19:28:05
MyOwnVelouria,TransArchives,11/06/2019 19:28:05
julialilinoe,ZZcollier,11/06/2019 19:27:15
julialilinoe,jotis13,11/06/2019 19:27:15
MyOwnVelouria,mradmacher,11/06/2019 19:26:33
arungapatchka,TransArchives,11/06/2019 19:26:21
ShawnaRoss,mekonkol,11/06/2019 19:25:16
ShawnaRoss,jotis13,11/06/2019 19:25:16
ZZcollier,jotis13,11/06/2019 19:24:54
mekonkol,jotis13,11/06/2019 19:24:24
arungapatchka,mradmacher,11/06/2019 19:19:28
arungapatchka,TransArchives,11/06/2019 19:19:28
arungapatchka,IBM,11/06/2019 19:19:28
TwilaBakker,MariaAChappell,11/06/2019 19:17:22
TwilaBakker,MariaAChappell,11/06/2019 19:17:22
randaelka,arbuckle_alyssa,11/06/2019 19:12:51
mimilambeales,criticalplayorg,11/06/2019 19:06:47
mimilambeales,dgrigar,11/06/2019 19:06:47
mimilambeales,jddurno,11/06/2019 19:06:47
DHInstitute,arbuckle_alyssa,11/06/2019 19:04:09
unsf_lorekeeper,NazcaTheMad,11/06/2019 18:53:47
unsf_lorekeeper,anitaconchita,11/06/2019 18:53:47
darkmoneyusa,DocBenderTWU,11/06/2019 18:52:29
alici_auk,Gaymerbrarian,11/06/2019 18:45:37
arungapatchka,ryancordell,11/06/2019 18:45:26
arungapatchka,khepworth,11/06/2019 18:42:23
arungapatchka,Jodi7768,11/06/2019 18:42:23
gregory_palermo,erinannmcc,11/06/2019 18:40:54
lauragrayblair,jotis13,11/06/2019 18:40:53
khepworth,arungapatchka,11/06/2019 18:39:41
khepworth,Jodi7768,11/06/2019 18:39:41
spondeee,Gaymerbrarian,11/06/2019 18:37:19
Gaymerbrarian,TransArchives,11/06/2019 18:34:20
arungapatchka,chessbard,11/06/2019 18:31:31
ShanBarnsley,ashleycmorford,11/06/2019 18:31:23
ShanBarnsley,ashleycmorford,11/06/2019 18:31:22
dorothyk98,ashleycmorford,11/06/2019 18:29:58
ShammaBoyarin,ullyot,11/06/2019 18:24:11
PorChicana,lgmerchant,11/06/2019 18:06:32
PorChicana,MECotera,11/06/2019 18:06:32
markcmarino,AstridEnsslin,11/06/2019 18:02:01
markcmarino,jonheggestad,11/06/2019 18:02:01
mekonkol,jotis13,11/06/2019 17:56:24
dorothyk98,ashleycmorford,11/06/2019 17:55:55
dorothyk98,ashleycmorford,11/06/2019 17:55:52
lindseyseatter,ETCLatUVic,11/06/2019 17:44:21
lindseyseatter,lindseyseatter,11/06/2019 17:44:21
lindseyseatter,EditrixCaroline,11/06/2019 17:44:21
DHInstitute,ETCLatUVic,11/06/2019 17:43:52
DHInstitute,lindseyseatter,11/06/2019 17:43:52
DHInstitute,EditrixCaroline,11/06/2019 17:43:52
DHInstitute,ullyot,11/06/2019 17:43:17
DHInstitute,DJWrisley,11/06/2019 17:43:17
DHInstitute,erinannmcc,11/06/2019 17:43:17
DHInstitute,jotis13,11/06/2019 17:43:17
DHInstitute,kyledase,11/06/2019 17:43:17
DHInstitute,Laura_Estill,11/06/2019 17:43:17
DHInstitute,ldmm,11/06/2019 17:43:17
DHInstitute,_jasoncohen_,11/06/2019 17:43:17
DHInstitute,MariaAChappell,11/06/2019 17:43:17
DHInstitute,andiesilva,11/06/2019 17:43:17
DHInstitute,hquamen,11/06/2019 17:43:17
DHInstitute,DianeJakacki,11/06/2019 17:43:17
DHInstitute,ullyot,11/06/2019 17:43:15
DHInstitute,ellen_mic,11/06/2019 17:43:06
ullyot,DJWrisley,11/06/2019 17:38:19
ullyot,erinannmcc,11/06/2019 17:38:19
ullyot,jotis13,11/06/2019 17:38:19
ullyot,kyledase,11/06/2019 17:38:19
ullyot,Laura_Estill,11/06/2019 17:38:19
ullyot,ldmm,11/06/2019 17:38:19
ullyot,_jasoncohen_,11/06/2019 17:38:19
ullyot,MariaAChappell,11/06/2019 17:38:19
ullyot,andiesilva,11/06/2019 17:38:19
ullyot,hquamen,11/06/2019 17:38:19
arungapatchka,clboyles,11/06/2019 17:33:26
arungapatchka,what3words,11/06/2019 17:33:26
juliawants,Gaymerbrarian,11/06/2019 17:30:26
dhsi_crow,Gaymerbrarian,11/06/2019 17:23:54
DocBenderTWU,mkgold,11/06/2019 17:20:09
ashleycmorford,Gaymerbrarian,11/06/2019 17:17:19
ashleycmorford,Gaymerbrarian,11/06/2019 17:17:19
wkelly21,roopikarisam,11/06/2019 17:08:22
JITPedagogy,mkgold,11/06/2019 17:04:43
anitaconchita,ashleycmorford,11/06/2019 17:04:38
anitaconchita,angeldnieves,11/06/2019 17:04:38
ETCLatUVic,lindseyseatter,11/06/2019 17:04:08
ETCLatUVic,EditrixCaroline,11/06/2019 17:04:08
DHInstitute,Gaymerbrarian,11/06/2019 17:01:27
ETCLatUVic,ullyot,11/06/2019 16:59:06
ETCLatUVic,erinannmcc,11/06/2019 16:59:06
ETCLatUVic,jotis13,11/06/2019 16:59:06
ETCLatUVic,kyledase,11/06/2019 16:59:06
ETCLatUVic,Laura_Estill,11/06/2019 16:59:06
ETCLatUVic,ldmm,11/06/2019 16:59:06
ETCLatUVic,_jasoncohen_,11/06/2019 16:59:06
ETCLatUVic,MariaAChappell,11/06/2019 16:59:06
ETCLatUVic,andiesilva,11/06/2019 16:59:06
ETCLatUVic,hquamen,11/06/2019 16:59:06
ETCLatUVic,DianeJakacki,11/06/2019 16:59:06
ETCLatUVic,antimony27,11/06/2019 16:59:06
DHInstitute,hanchri1,11/06/2019 16:57:44
DHInstitute,kate_thornhill,11/06/2019 16:55:51
DHInstitute,ullyot,11/06/2019 16:55:14
DHInstitute,erinannmcc,11/06/2019 16:55:14
DHInstitute,jotis13,11/06/2019 16:55:14
DHInstitute,kyledase,11/06/2019 16:55:14
DHInstitute,Laura_Estill,11/06/2019 16:55:14
DHInstitute,ldmm,11/06/2019 16:55:14
DHInstitute,_jasoncohen_,11/06/2019 16:55:14
DHInstitute,MariaAChappell,11/06/2019 16:55:14
DHInstitute,andiesilva,11/06/2019 16:55:14
DHInstitute,hquamen,11/06/2019 16:55:14
DHInstitute,DianeJakacki,11/06/2019 16:55:14
DHInstitute,antimony27,11/06/2019 16:55:14
eetempleton,ShawnaRoss,11/06/2019 16:49:03
eetempleton,BradshawMissy,11/06/2019 16:49:03
brandontlocke,roopikarisam,11/06/2019 16:39:37
ullyot,DHInstitute,11/06/2019 16:37:55
ullyot,ETCLatUVic,11/06/2019 16:37:55
ullyot,erinannmcc,11/06/2019 16:35:33
ullyot,jotis13,11/06/2019 16:35:33
ullyot,kyledase,11/06/2019 16:35:33
ullyot,Laura_Estill,11/06/2019 16:35:33
ullyot,ldmm,11/06/2019 16:35:33
ullyot,_jasoncohen_,11/06/2019 16:35:33
ullyot,MariaAChappell,11/06/2019 16:35:33
ullyot,andiesilva,11/06/2019 16:35:33
ullyot,hquamen,11/06/2019 16:35:33
ullyot,DianeJakacki,11/06/2019 16:35:33
julialilinoe,DHSI_Bunny,11/06/2019 16:33:45
dorothyk98,arungapatchka,11/06/2019 16:32:37
dorothyk98,ThePSF,11/06/2019 16:32:37
EMttyCUP,roopikarisam,11/06/2019 16:23:27
eetempleton,kate_thornhill,11/06/2019 16:16:17
erinannmcc,Laura_Estill,11/06/2019 16:15:32
erinannmcc,Laura_Estill,11/06/2019 16:15:32
ame_lemieux,JenProf,11/06/2019 15:27:14
ame_lemieux,JenProf,11/06/2019 15:27:14
JenProf,docfnord,11/06/2019 15:14:52
JenProf,ZetOhEh,11/06/2019 15:14:52
JenProf,uvic,11/06/2019 15:14:52
JenProf,aframevr,11/06/2019 15:14:52
_jasoncohen_,ullyot,11/06/2019 14:37:10
_jasoncohen_,Laura_Estill,11/06/2019 14:37:10
_jasoncohen_,ldmm,11/06/2019 14:37:10
_jasoncohen_,_jasoncohen_,11/06/2019 14:37:10
annetiquate,mkgold,11/06/2019 14:35:07
dtracy2,mkgold,11/06/2019 14:24:21
Courtney_Herber,roopikarisam,11/06/2019 13:07:56
friede,andiesilva,11/06/2019 12:52:19
Calthalas,HeatherVHill,11/06/2019 12:46:01
Calthalas,mkgold,11/06/2019 12:46:01
_JoyCastro,roopikarisam,11/06/2019 12:33:16
_JoyCastro,roopikarisam,11/06/2019 12:33:13
_JoyCastro,roopikarisam,11/06/2019 12:33:06
_JoyCastro,roopikarisam,11/06/2019 12:33:00
_JoyCastro,roopikarisam,11/06/2019 12:32:53
_JoyCastro,roopikarisam,11/06/2019 12:32:53
diyclassics,DJWrisley,11/06/2019 11:05:50
myleejoseph,mkgold,11/06/2019 10:04:45
C18AH,andiesilva,11/06/2019 09:06:00
DetroittoAccra,arungapatchka,11/06/2019 09:05:49
DetroittoAccra,angeldnieves,11/06/2019 09:05:49
dorothyk98,clboyles,11/06/2019 08:42:45
dorothyk98,ashleycmorford,11/06/2019 08:42:45
AlyssaA_DHSI,JessicaRajko,11/06/2019 08:38:06
AlyssaA_DHSI,ryancordell,11/06/2019 08:37:12
AlyssaA_DHSI,hanchri1,11/06/2019 08:36:41
dorothyk98,ashleycmorford,11/06/2019 08:35:51
dorothyk98,angeldnieves,11/06/2019 08:35:51
dorothyk98,ashleycmorford,11/06/2019 08:35:51
dorothyk98,angeldnieves,11/06/2019 08:35:51
dorothyk98,arungapatchka,11/06/2019 07:35:37
dorothyk98,angeldnieves,11/06/2019 07:35:37
suebecks,chris_friend,11/06/2019 06:57:33
dorothyk98,kshpatel,11/06/2019 06:57:32
dorothyk98,kshpatel,11/06/2019 06:54:36
dorothyk98,angeldnieves,11/06/2019 06:54:36
dhsi_crow,ETCLatUVic,11/06/2019 06:54:04
dhsi_crow,RavynnKaMia,11/06/2019 06:54:04
dhsi_crow,ELitLab,11/06/2019 06:52:42
dhsi_crow,Gaymerbrarian,11/06/2019 06:52:42
dorothyk98,arungapatchka,11/06/2019 06:43:15
dorothyk98,Ponca_Found,11/06/2019 06:43:01
dorothyk98,RavynnKaMia,11/06/2019 06:42:53
WestGrid,Laura_Estill,11/06/2019 06:37:38
jonheggestad,jotis13,11/06/2019 06:37:22
AstridEnsslin,jonheggestad,11/06/2019 06:32:11
jonheggestad,kshpatel,11/06/2019 06:31:25
CLKCrompton,Laura_Estill,11/06/2019 06:25:35
kkaczmawr,mkgold,11/06/2019 06:22:10
InFoDiTex,mkgold,11/06/2019 06:21:55
InFoDiTex,mkgold,11/06/2019 06:21:55
JenProf,hanchri1,11/06/2019 05:46:55
dorothyk98,ashleycmorford,11/06/2019 05:44:43
dorothyk98,motolibrarian,11/06/2019 05:44:43
dorothyk98,clboyles,11/06/2019 05:44:43
dorothyk98,ashleycmorford,11/06/2019 05:44:34
dorothyk98,ashleycmorford,11/06/2019 05:44:21
dorothyk98,hkpmcgregor,11/06/2019 05:44:21
dorothyk98,jmjafrx,11/06/2019 05:44:21
dorothyk98,arungapatchka,11/06/2019 05:44:17
dorothyk98,motolibrarian,11/06/2019 05:44:17
dorothyk98,ArcGISPro,11/06/2019 05:44:17
dorothyk98,clboyles,11/06/2019 05:44:17
dorothyk98,motolibrarian,11/06/2019 05:44:12
dorothyk98,kshpatel,11/06/2019 05:44:06
dorothyk98,ashleycmorford,11/06/2019 05:43:58
dorothyk98,arungapatchka,11/06/2019 05:43:52
dorothyk98,shirleene,11/06/2019 05:43:52
DHSI_fern,j0_0n,11/06/2019 05:40:55
DHSI_fern,Caladoscope,11/06/2019 05:40:55
RohanIrvine,ashleycmorford,11/06/2019 05:39:17
mesinatra,mkgold,11/06/2019 05:39:14
cunycommons,mkgold,11/06/2019 05:31:09
JenProf,DHInstitute,11/06/2019 05:20:11
JenProf,DHInstitute,11/06/2019 05:20:11
dorothyk98,ashleycmorford,11/06/2019 05:15:11
dorothyk98,ashleycmorford,11/06/2019 05:15:06
dorothyk98,ashleycmorford,11/06/2019 05:15:04
dorothyk98,ashleycmorford,11/06/2019 05:15:01
j0_0n,Caladoscope,11/06/2019 04:40:47
TwilaBakker,lindseyseatter,11/06/2019 04:38:30
TwilaBakker,lindseyseatter,11/06/2019 04:38:18
dorothyk98,kshpatel,11/06/2019 04:35:13
eviedc,ryancordell,11/06/2019 04:33:42
church_c,timsobie,11/06/2019 04:23:06
vaneceia,HedleyAlison,11/06/2019 04:22:03
friede,Gaymerbrarian,11/06/2019 04:16:53
friede,Gaymerbrarian,11/06/2019 04:16:53
DHInstitute,ryancordell,11/06/2019 04:13:43
NCSAscholars,alisonfchapman,11/06/2019 03:57:13
friede,arungapatchka,11/06/2019 03:56:57
friede,angeldnieves,11/06/2019 03:56:57
friede,kfitz,11/06/2019 03:56:57
VicPoetryCaucus,alisonfchapman,11/06/2019 03:51:54
MazelAdam,mkgold,11/06/2019 03:48:48
anneperez,dorothyk98,11/06/2019 03:46:22
anneperez,angeldnieves,11/06/2019 03:46:22
MazelAdam,paigecmorgan,11/06/2019 03:38:47
MazelAdam,yvonnezlam,11/06/2019 03:38:47
MazelAdam,DHInstitute,11/06/2019 03:38:47
MariaKAlberto,Gaymerbrarian,11/06/2019 03:37:26
yclepit,Gaymerbrarian,11/06/2019 03:28:00
La_coronica,dorothyk98,11/06/2019 02:58:18
La_coronica,angeldnieves,11/06/2019 02:58:18
DHInstitute,ETCLatUVic,11/06/2019 02:40:50
DHInstitute,mekonkol,11/06/2019 02:40:50
Gaymerbrarian,dhsi_crow,11/06/2019 02:29:45
PoeticsHeretic,arungapatchka,11/06/2019 02:18:32
PoeticsHeretic,angeldnieves,11/06/2019 02:18:32
PoeticsHeretic,arungapatchka,11/06/2019 02:18:32
PoeticsHeretic,angeldnieves,11/06/2019 02:18:32
libmaryan,angeldnieves,11/06/2019 01:49:46
RossNalubega,kshpatel,11/06/2019 01:33:02
RossNalubega,angeldnieves,11/06/2019 01:33:02
almalupeluna,paularcurtis,11/06/2019 01:31:17
almalupeluna,kj_lanning,11/06/2019 01:29:39
almalupeluna,AlyssaA_DHSI,11/06/2019 01:29:39
almalupeluna,uvic,11/06/2019 01:29:39
ryancordell,arungapatchka,11/06/2019 01:17:22
ryancordell,angeldnieves,11/06/2019 01:17:22
ryancordell,kfitz,11/06/2019 01:17:22
Real_Person_DH,arungapatchka,11/06/2019 01:16:41
Real_Person_DH,angeldnieves,11/06/2019 01:16:41
Real_Person_DH,kfitz,11/06/2019 01:16:41
TerreformUR,kshpatel,11/06/2019 01:16:33
TerreformUR,angeldnieves,11/06/2019 01:16:33
Real_Person_DH,arungapatchka,11/06/2019 01:16:31
Real_Person_DH,angeldnieves,11/06/2019 01:16:31
Real_Person_DH,arungapatchka,11/06/2019 01:16:26
Real_Person_DH,angeldnieves,11/06/2019 01:16:26
Real_Person_DH,arungapatchka,11/06/2019 01:16:21
Real_Person_DH,angeldnieves,11/06/2019 01:16:21
Real_Person_DH,arungapatchka,11/06/2019 01:16:21
Real_Person_DH,angeldnieves,11/06/2019 01:16:21
ETCLatUVic,mekonkol,11/06/2019 01:15:06
BetsyBrey,Gaymerbrarian,11/06/2019 01:14:49
kshpatel,angeldnieves,11/06/2019 01:14:20
poetry_digital,alisonfchapman,11/06/2019 01:06:50
poetry_digital,ryancordell,11/06/2019 01:06:50
arungapatchka,angeldnieves,11/06/2019 01:02:34
arungapatchka,kfitz,11/06/2019 01:02:34
MariaAChappell,angeldnieves,11/06/2019 01:01:56
MyOwnVelouria,ashleycmorford,11/06/2019 01:01:43
MyOwnVelouria,angeldnieves,11/06/2019 01:01:43
ashleycmorford,angeldnieves,11/06/2019 01:01:06
ETCLatUVic,angeldnieves,11/06/2019 01:00:49
MyOwnVelouria,JenProf,11/06/2019 01:00:15
MyOwnVelouria,angeldnieves,11/06/2019 01:00:15
ETCLatUVic,angeldnieves,11/06/2019 01:00:04
ETCLatUVic,profwernimont,11/06/2019 01:00:04
XLSalvador,arungapatchka,11/06/2019 01:00:03
XLSalvador,angeldnieves,11/06/2019 01:00:03
MaizeWallin,davegaertner,11/06/2019 00:53:49
MaizeWallin,CLKCrompton,11/06/2019 00:53:49
ETCLatUVic,angeldnieves,11/06/2019 00:53:10
friede,arungapatchka,11/06/2019 00:51:59
friede,angeldnieves,11/06/2019 00:51:59
lauragrayblair,arungapatchka,11/06/2019 00:50:47
lauragrayblair,angeldnieves,11/06/2019 00:50:47
MyOwnVelouria,Gaymerbrarian,11/06/2019 00:50:37
ETCLatUVic,angeldnieves,11/06/2019 00:48:48
ashleycmorford,angeldnieves,11/06/2019 00:48:45
mesinatra,HedleyAlison,11/06/2019 00:48:21
